,Country,Region,Year,Water Source Type,Water Treatment Method,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Access to Clean Water (% of Population),"Diarrheal Cases per 100,000 people"
525,Pakistan,North,2023,Lake,Boiling,6.31,8.15,1.42,4.59,46.67,2.0,4521,93.79,493
526,Mexico,North,2001,Tap,Boiling,5.97,7.23,4.03,4.17,17.6,6.01,3047,78.74,246
527,Nigeria,East,2020,Lake,,3.18,6.32,1.05,3.14,18.27,1.37,980,80.14,147
528,Ethiopia,Central,2024,Pond,Chlorination,4.51,6.01,1.46,4.6,10.47,18.4,2119,51.28,198
529,Ethiopia,South,2007,Well,,2.47,7.69,0.96,3.17,48.0,9.03,3745,80.12,120
530,Mexico,East,2017,Pond,Filtration,7.9,7.37,1.32,5.42,22.82,3.79,177,79.68,168
531,Ethiopia,West,2024,Lake,Chlorination,6.35,6.83,4.17,4.02,28.52,11.7,1546,71.63,0
532,Nigeria,West,2015,Spring,,5.33,6.42,3.2,7.06,22.66,3.93,2034,55.01,329
533,China,North,2004,Lake,Boiling,3.93,7.17,2.03,5.69,12.65,16.09,298,86.77,108
534,Mexico,West,2021,River,Filtration,2.91,6.25,4.86,3.66,40.52,6.12,2567,95.63,459
535,India,East,2012,Lake,Boiling,8.23,6.84,2.32,5.8,1.42,6.3,3566,90.89,387
536,Pakistan,West,2018,Spring,,4.51,6.95,4.85,4.47,34.51,17.4,4039,47.01,326
537,Ethiopia,East,2002,River,Filtration,5.01,7.16,0.98,7.76,29.71,11.18,274,61.2,9
538,Ethiopia,South,2007,Tap,Chlorination,5.21,7.17,4.52,5.55,7.21,17.75,2995,53.97,469
539,USA,North,2011,River,Chlorination,4.48,6.64,0.07,4.03,8.3,8.26,52,79.52,126
540,Bangladesh,West,2001,Pond,,2.56,8.13,2.73,5.45,32.96,6.88,1423,88.2,472
541,Mexico,East,2010,Well,,1.2,6.89,2.12,4.57,15.61,10.12,1627,45.11,156
542,Indonesia,Central,2011,Pond,Chlorination,0.99,6.57,2.63,8.57,13.29,1.23,488,96.31,230
543,Ethiopia,North,2017,River,Chlorination,7.57,6.44,2.77,9.88,2.96,3.08,2354,77.41,14
544,Pakistan,South,2012,Tap,,2.24,6.81,1.95,3.18,38.32,4.39,416,45.29,274
545,India,East,2004,Lake,Chlorination,0.56,6.17,4.99,7.83,44.13,16.33,2556,55.98,486
546,Ethiopia,South,2021,River,Filtration,7.98,6.08,4.88,4.85,40.99,14.68,920,37.32,441
547,India,South,2011,Pond,,1.54,7.51,4.81,3.46,23.3,3.87,1553,71.79,365
548,Nigeria,West,2001,River,Filtration,6.25,7.55,4.9,3.1,26.7,5.53,2685,41.84,436
549,Nigeria,West,2004,River,Boiling,3.39,7.32,3.97,9.17,12.11,18.89,665,78.52,45
550,Bangladesh,East,2006,River,Filtration,1.26,7.91,4.94,5.48,8.64,1.72,4101,81.61,273
551,China,Central,2023,Tap,,4.14,6.1,4.46,9.96,41.15,10.95,2469,63.55,105
552,Indonesia,East,2011,Spring,Boiling,0.15,8.34,2.08,6.1,39.92,10.44,1474,36.57,2
553,USA,Central,2015,Spring,Chlorination,8.41,6.24,3.92,4.31,38.87,14.51,337,72.76,325
554,Bangladesh,South,2022,River,Filtration,5.13,7.69,4.56,8.44,23.17,5.23,3159,56.05,252
555,Brazil,North,2007,Tap,Filtration,1.39,6.33,3.56,9.49,43.23,18.7,268,96.48,21
556,USA,East,2008,Tap,,2.37,8.2,2.11,8.71,46.31,8.21,1087,65.92,54
557,Mexico,East,2014,River,Chlorination,4.48,7.28,0.33,8.22,16.42,5.71,1293,35.06,373
558,Pakistan,Central,2004,Pond,,1.89,6.21,4.05,5.34,11.23,6.74,656,74.52,447
559,Brazil,South,2012,Pond,Chlorination,2.69,7.54,4.76,3.45,23.21,6.97,2828,84.55,296
560,Brazil,South,2004,Well,,5.34,6.02,1.81,4.41,8.97,3.98,3973,41.24,109
561,Bangladesh,Central,2010,River,Chlorination,8.33,7.94,0.76,6.13,44.2,18.56,4957,61.43,372
562,China,South,2009,Well,Boiling,4.02,7.63,1.63,9.69,16.9,3.5,1336,82.02,222
563,Bangladesh,West,2019,Pond,,7.17,6.53,2.91,8.06,28.81,17.66,2356,31.43,468
564,Mexico,North,2012,Pond,Boiling,8.77,6.94,1.58,8.8,29.74,8.1,1667,32.03,247
565,Ethiopia,East,2008,River,,2.16,6.02,3.05,4.94,25.75,5.39,1825,77.38,135
566,Ethiopia,North,2020,Well,,8.07,7.73,4.83,7.79,7.83,3.97,4030,80.76,320
567,China,East,2013,Well,,7.57,6.81,3.35,9.04,49.55,10.09,1212,89.21,386
568,Mexico,West,2017,River,Filtration,3.57,7.43,1.81,6.36,8.63,13.39,2768,57.97,412
569,China,South,2014,Well,,9.9,8.39,4.68,6.01,37.58,17.96,4415,57.28,245
570,India,Central,2009,Lake,Chlorination,2.63,6.75,2.83,8.04,39.57,13.05,3058,68.67,69
571,Ethiopia,West,2023,Pond,Filtration,2.55,8.48,0.64,6.92,7.26,9.67,444,83.01,480
572,Brazil,North,2006,Spring,Chlorination,7.72,7.58,2.49,9.95,46.66,0.67,1397,74.87,17
573,Indonesia,Central,2007,Tap,Chlorination,4.35,6.61,3.27,5.98,24.39,18.31,4381,52.91,489
574,Pakistan,South,2002,Well,Chlorination,3.31,7.09,4.19,4.23,31.44,18.05,2218,54.26,496
575,Mexico,West,2014,Well,Chlorination,1.79,7.85,4.68,6.3,32.11,7.57,3676,83.41,185
576,USA,Central,2015,Tap,Chlorination,7.65,7.12,1.59,4.65,25.25,0.58,2310,67.43,116
577,China,West,2003,Well,Boiling,7.86,6.17,0.78,6.93,7.1,14.67,4040,36.86,256
578,Pakistan,West,2020,Tap,Filtration,5.67,6.42,0.37,3.88,37.59,15.83,3606,40.71,277
579,USA,South,2005,River,Chlorination,9.57,7.98,3.69,9.65,29.09,10.85,1827,89.58,94
580,Pakistan,East,2000,Lake,Boiling,3.18,7.62,3.98,9.02,5.93,8.06,3219,99.92,406
581,Indonesia,Central,2003,Lake,Boiling,2.2,7.42,2.05,4.09,35.02,17.02,4688,53.5,391
582,USA,South,2010,Pond,Chlorination,6.77,6.42,1.98,4.21,35.14,3.85,4511,57.07,412
583,Bangladesh,West,2011,Spring,,7.58,8.09,4.77,6.59,27.42,8.79,2072,40.81,427
584,Nigeria,South,2004,Well,Chlorination,2.25,8.4,4.58,8.41,4.53,0.49,4189,46.5,114
585,Bangladesh,East,2022,Spring,Boiling,0.77,6.1,1.17,4.53,17.63,3.28,2330,59.72,493
586,Ethiopia,Central,2020,River,Chlorination,8.11,6.2,3.9,3.43,2.55,18.82,685,49.91,61
587,Nigeria,East,2015,Lake,Boiling,9.77,8.21,3.11,6.82,23.88,11.56,4958,79.1,274
588,Bangladesh,North,2012,River,Chlorination,6.45,8.04,0.77,7.84,45.32,16.11,684,67.65,314
589,Nigeria,Central,2012,River,Boiling,2.78,7.54,1.78,4.71,0.11,9.73,2937,87.56,496
590,Nigeria,East,2016,Well,Chlorination,9.97,8.36,0.89,8.18,13.33,16.7,3711,80.72,123
591,Brazil,West,2006,River,,8.93,7.62,1.48,9.65,39.99,10.78,340,38.97,79
592,China,Central,2007,Lake,,5.13,6.54,3.08,3.96,0.49,0.09,4699,38.64,146
593,China,Central,2012,Spring,Boiling,8.25,7.82,1.88,6.58,0.51,17.99,733,92.7,484
594,Brazil,South,2022,Lake,,8.16,7.61,1.97,3.4,30.54,2.97,1496,87.37,21
595,Pakistan,West,2015,Well,,9.35,8.46,2.7,4.45,39.46,9.01,3893,62.75,82
596,India,North,2003,Lake,Filtration,8.41,6.53,0.44,3.63,38.83,9.53,2954,39.13,323
597,Pakistan,East,2007,Tap,Chlorination,6.44,7.49,3.69,5.83,38.98,0.94,1131,92.9,4
598,USA,South,2015,Spring,Chlorination,6.09,7.95,2.01,8.75,18.05,1.06,4635,46.15,260
599,USA,East,2020,Tap,,4.67,6.85,2.4,7.04,44.14,15.25,1732,32.49,408
600,Nigeria,North,2009,Tap,,6.26,6.95,4.87,4.56,0.64,6.01,3035,94.7,279
601,Bangladesh,North,2024,Pond,Boiling,7.95,8.22,1.72,3.28,15.61,8.19,2713,86.63,128
602,Bangladesh,Central,2011,Well,Chlorination,9.69,7.01,3.24,6.87,16.86,11.28,2479,78.54,113
603,China,North,2011,River,Filtration,4.67,7.56,1.96,3.93,8.28,7.47,1419,32.38,283
604,Mexico,East,2004,Tap,Filtration,5.74,8.22,4.47,5.4,16.81,15.5,1989,66.99,46
605,Pakistan,West,2015,Lake,,4.45,6.52,4.23,6.57,29.29,17.69,4710,75.75,340
606,Ethiopia,West,2000,River,Boiling,6.68,8.45,1.21,9.33,26.01,1.19,487,83.15,187
607,Indonesia,Central,2008,Lake,Boiling,6.3,7.75,3.46,3.57,15.97,12.71,3819,62.98,18
608,Bangladesh,East,2011,Lake,Chlorination,0.18,7.24,0.33,7.68,37.47,6.35,1441,96.73,86
609,Indonesia,East,2004,River,,5.41,7.08,4.82,3.1,35.74,11.67,2390,47.13,141
610,Nigeria,North,2021,River,,0.88,8.39,1.74,7.41,14.03,9.68,1384,34.88,250
611,Indonesia,East,2019,Lake,Boiling,0.26,6.51,4.16,6.86,16.16,6.67,2156,53.29,325
612,Ethiopia,South,2021,Well,Filtration,7.91,6.78,1.59,8.68,14.38,1.9,4944,76.33,479
613,Brazil,North,2023,Spring,Filtration,2.59,6.77,3.16,6.72,6.44,11.19,4396,81.6,369
614,Ethiopia,South,2002,Pond,Chlorination,3.41,6.72,4.92,5.47,37.64,2.26,1391,81.69,479
615,Indonesia,Central,2004,Spring,,0.64,7.17,4.38,4.7,2.31,3.12,4800,37.75,7
616,Ethiopia,West,2001,Well,,1.8,8.47,0.8,3.6,7.53,19.64,3142,91.96,36
617,India,Central,2013,Pond,Filtration,7.66,8.22,2.74,6.74,5.27,6.33,268,49.66,85
618,Nigeria,West,2001,River,,4.94,6.82,1.74,9.22,41.27,11.69,3917,44.69,71
619,Pakistan,Central,2012,Pond,,8.81,7.06,2.17,6.6,2.2,5.44,1524,73.01,380
620,Brazil,East,2006,Lake,Boiling,3.97,7.67,1.68,8.17,33.23,17.31,477,44.83,485
621,Bangladesh,South,2009,Spring,Chlorination,2.69,6.04,1.68,5.09,2.22,5.67,4271,65.56,265
622,USA,West,2012,Pond,Chlorination,3.48,8.05,2.71,6.14,39.32,7.34,238,58.49,66
623,Pakistan,North,2015,Lake,Chlorination,7.13,8.2,0.96,5.27,45.64,12.17,609,46.24,140
624,USA,South,2013,Well,Boiling,5.55,8.14,2.69,3.76,24.34,17.4,4587,50.44,294
625,Nigeria,North,2010,Pond,Chlorination,9.04,6.94,1.39,5.92,40.23,16.32,4424,59.92,63
626,Brazil,South,2009,Lake,Chlorination,6.02,7.15,1.44,8.35,35.32,5.28,3397,54.23,29
627,China,South,2005,Well,Filtration,4.93,6.03,3.69,5.76,39.78,16.59,4540,56.71,387
628,Bangladesh,Central,2003,River,Filtration,7.86,7.0,0.15,7.55,38.34,14.02,4537,81.48,44
629,India,West,2020,Well,Chlorination,9.48,7.15,1.9,8.31,10.27,19.8,4890,41.79,133
630,China,West,2000,Well,Boiling,3.56,8.27,2.04,5.26,24.98,18.71,1831,73.93,15
631,Nigeria,South,2006,Spring,Boiling,2.5,8.23,2.43,8.58,48.02,10.66,4986,77.47,277
632,Pakistan,East,2023,Lake,Boiling,6.16,8.42,3.35,5.37,17.18,15.0,1154,86.15,218
633,India,East,2008,Pond,,4.99,8.21,1.85,4.79,48.52,11.4,1751,89.31,276
634,Ethiopia,North,2007,Spring,,9.89,6.02,1.07,4.56,29.16,11.9,3598,41.11,220
635,Indonesia,North,2004,Tap,Boiling,4.62,7.6,4.42,4.4,23.08,2.03,2485,39.68,192
636,India,Central,2018,Well,Filtration,0.74,6.17,4.91,8.16,32.89,0.04,3338,73.03,157
637,Nigeria,South,2009,Tap,,9.77,6.68,0.1,9.21,40.79,0.96,2333,82.98,23
638,Mexico,North,2010,Spring,Boiling,8.44,7.45,2.73,4.61,19.71,19.33,4386,49.06,319
639,Indonesia,North,2024,Lake,,1.78,7.75,1.71,3.6,1.65,2.53,4463,66.81,140
640,USA,South,2014,Spring,,9.05,7.64,1.38,5.2,35.44,0.89,4581,84.06,221
641,Bangladesh,Central,2005,Lake,,3.41,6.12,1.68,7.6,47.81,6.19,167,83.73,25
642,USA,North,2014,Lake,,3.77,6.26,3.19,5.58,31.25,11.76,3542,75.77,97
643,India,Central,2004,River,Boiling,9.06,6.32,0.95,6.84,9.42,18.97,4009,35.52,275
644,USA,West,2018,Well,,5.3,6.23,4.56,8.21,12.41,14.0,77,33.55,60
645,Nigeria,Central,2021,Spring,Chlorination,1.38,6.45,2.33,5.86,45.49,5.53,2898,57.19,379
646,Ethiopia,East,2018,Lake,Boiling,3.69,7.72,1.63,10.0,0.68,18.78,1108,31.87,242
647,Pakistan,East,2009,Spring,Boiling,7.22,8.08,3.83,5.09,27.44,0.72,891,93.29,389
648,Bangladesh,Central,2011,Spring,Boiling,1.74,7.02,0.08,9.85,7.93,19.58,4756,31.41,426
649,USA,East,2021,Lake,,5.9,7.73,2.16,4.42,14.14,1.17,1224,32.07,432
650,USA,West,2003,Pond,Boiling,6.95,6.5,1.78,3.78,15.35,15.08,4684,41.57,8
651,India,South,2017,Tap,Filtration,3.44,8.43,1.69,8.26,10.96,0.91,564,73.89,383
652,Pakistan,East,2015,Well,Chlorination,6.94,6.87,1.69,7.92,39.62,18.63,2859,67.91,356
653,China,East,2007,Well,Filtration,8.84,8.11,0.16,8.68,16.61,2.17,301,76.16,420
654,USA,Central,2003,Pond,Chlorination,4.72,8.36,0.76,5.41,17.27,1.01,4389,92.55,271
655,Nigeria,West,2024,River,Chlorination,3.83,8.16,0.71,9.52,22.65,17.79,108,61.85,259
656,Mexico,South,2022,Pond,,2.51,6.17,4.94,3.84,45.11,1.92,2412,33.07,31
657,Bangladesh,Central,2011,River,Chlorination,6.04,7.63,0.11,3.21,34.41,15.96,2647,83.44,339
658,USA,Central,2001,River,Chlorination,8.8,6.3,0.84,5.1,3.09,14.94,2725,86.84,92
659,Nigeria,West,2003,Pond,Filtration,3.25,6.01,4.87,8.58,1.96,11.98,3338,33.49,478
660,Nigeria,South,2004,Well,Chlorination,3.96,6.13,3.14,7.71,28.32,7.56,2140,47.0,127
661,Bangladesh,West,2002,Tap,Boiling,4.07,8.29,2.25,6.05,44.35,18.31,4523,83.94,236
662,China,South,2008,Well,Boiling,5.61,8.27,0.39,4.79,16.16,17.42,4733,56.33,16
663,Nigeria,West,2020,Well,Chlorination,2.28,6.56,3.35,3.41,12.39,8.52,3813,63.09,40
664,Mexico,Central,2017,Well,Boiling,8.22,7.37,0.69,5.36,37.41,4.63,4200,87.62,472
665,Nigeria,Central,2010,Pond,,2.96,8.39,3.36,6.22,30.1,5.45,2256,36.62,300
666,Nigeria,North,2002,Pond,Boiling,7.05,7.24,4.9,7.81,28.25,4.41,3645,77.41,271
667,Nigeria,East,2024,Pond,,5.13,6.98,2.66,7.52,7.47,10.83,3059,45.05,275
668,Ethiopia,West,2022,Well,Chlorination,5.86,7.21,1.07,9.63,8.8,17.37,2521,34.39,41
669,Ethiopia,North,2001,Tap,,1.8,7.98,3.13,3.7,14.09,15.47,3417,76.37,265
670,China,East,2008,River,,7.35,7.19,2.56,5.35,10.34,15.91,11,38.5,51
671,USA,West,2013,Spring,Chlorination,1.89,7.96,2.67,6.37,48.57,8.97,4744,82.29,187
672,Nigeria,South,2003,River,Chlorination,1.13,7.08,2.39,7.69,0.93,6.45,3266,44.19,431
673,Pakistan,East,2008,River,,5.47,6.63,3.37,6.47,31.3,15.15,3145,33.4,150
674,USA,Central,2012,Spring,Filtration,7.09,6.82,2.86,9.39,25.88,15.87,874,36.95,243
675,China,North,2017,Well,Chlorination,0.5,6.19,4.93,7.26,16.16,13.91,2433,88.89,288
676,Brazil,East,2014,Tap,Chlorination,0.69,7.24,4.13,3.28,44.38,0.64,883,55.97,490
677,USA,East,2009,Tap,Filtration,8.03,6.37,1.32,3.8,33.51,11.79,4650,51.16,126
678,USA,Central,2015,River,Boiling,8.09,8.03,3.63,8.27,49.92,6.94,3985,64.38,204
679,Indonesia,West,2011,Spring,Filtration,2.45,7.05,1.07,8.01,8.43,3.92,1579,74.31,408
680,India,South,2019,Lake,Boiling,6.15,7.91,3.91,4.07,4.39,13.89,3771,32.6,305
681,Indonesia,Central,2004,Well,Filtration,4.43,8.39,0.74,3.41,6.97,5.37,352,92.87,356
682,Mexico,South,2001,River,,6.33,8.12,2.37,7.05,13.46,18.26,1506,97.09,99
683,Ethiopia,West,2009,Tap,Chlorination,8.63,8.38,3.95,7.45,20.84,5.96,3487,59.21,343
684,Ethiopia,East,2000,Pond,Filtration,0.8,7.42,1.4,3.95,43.13,11.1,2851,58.88,453
685,India,South,2006,Pond,Chlorination,7.78,6.41,4.19,6.32,14.18,16.56,2029,91.5,78
686,Bangladesh,North,2016,Spring,Boiling,4.93,8.34,3.22,5.14,45.76,8.04,1846,60.05,182
687,Bangladesh,North,2015,Spring,,5.64,8.17,1.99,9.52,23.15,16.57,2390,89.93,97
688,China,Central,2023,River,Chlorination,6.54,8.16,2.12,4.53,32.35,14.47,4030,31.98,67
689,India,West,2002,Lake,Filtration,9.23,7.73,4.63,8.13,13.22,18.42,3438,64.28,333
690,USA,Central,2013,Tap,Filtration,0.57,7.56,1.09,6.63,7.8,6.52,2383,96.67,387
691,Bangladesh,Central,2009,River,,0.29,6.04,3.47,3.08,43.47,2.1,3367,47.7,27
692,Nigeria,Central,2021,Lake,Boiling,1.78,7.87,3.54,6.62,5.48,8.61,4980,48.63,28
693,Pakistan,North,2006,Spring,,9.86,6.23,4.61,3.7,38.7,15.72,1465,74.11,337
694,USA,North,2016,Pond,,7.15,6.65,3.57,7.61,29.05,9.01,2151,94.83,121
695,Mexico,Central,2005,Well,Chlorination,6.15,7.38,2.92,6.96,43.06,5.24,3483,43.91,211
696,Nigeria,North,2022,Pond,Boiling,0.47,7.13,4.51,3.07,35.89,0.55,573,94.52,175
697,Nigeria,West,2021,Tap,,8.79,6.04,4.15,4.43,14.08,6.26,774,76.41,104
698,India,Central,2003,Tap,Chlorination,8.13,8.06,3.58,8.43,28.72,14.27,3365,99.51,479
699,China,North,2016,Pond,Chlorination,6.65,8.2,0.16,4.93,0.65,2.95,4338,81.55,71
700,Mexico,South,2008,Pond,Boiling,3.39,7.7,1.87,6.49,23.76,6.82,3930,76.75,490
701,Bangladesh,Central,2003,Lake,Boiling,0.71,7.35,3.16,5.18,4.3,0.4,2680,87.04,109
702,India,Central,2006,River,Chlorination,5.8,8.4,2.61,9.45,21.45,14.44,4960,42.26,112
703,Bangladesh,West,2022,Spring,Boiling,7.2,6.3,1.6,6.76,5.48,17.61,2220,96.22,396
704,India,East,2001,Lake,Chlorination,0.94,7.84,0.72,7.87,47.77,11.37,1439,41.59,231
705,India,East,2016,Well,Boiling,6.34,6.32,2.76,3.58,26.15,0.52,713,31.8,493
706,India,West,2023,Pond,Boiling,2.86,6.95,1.43,3.28,45.66,4.35,575,78.85,42
707,China,West,2007,Well,Boiling,7.64,7.46,1.17,4.81,1.12,8.77,2981,42.92,264
708,India,West,2022,Well,Filtration,5.4,7.84,1.99,5.16,31.88,11.75,69,83.11,295
709,Brazil,East,2014,Lake,Boiling,1.29,6.01,3.93,7.81,15.35,9.93,3764,85.65,45
710,Pakistan,West,2014,Spring,Filtration,5.27,6.65,2.44,6.98,21.59,18.32,4938,46.57,494
711,Bangladesh,North,2007,Tap,Chlorination,3.96,7.35,1.08,5.62,43.65,18.77,2376,36.07,57
712,USA,Central,2015,River,,1.8,7.33,0.58,7.58,49.0,2.14,2205,65.06,224
713,Indonesia,Central,2018,Tap,,8.42,7.59,2.49,4.14,12.32,2.77,917,92.32,439
714,Mexico,South,2010,Spring,,0.11,6.76,3.97,3.44,47.41,7.16,2745,89.31,139
715,Ethiopia,South,2001,Tap,Chlorination,3.12,7.35,3.26,8.98,34.44,8.42,742,38.2,100
716,China,Central,2022,Pond,Boiling,0.13,6.47,1.16,6.95,47.57,11.72,4150,97.53,280
717,USA,North,2023,Pond,Filtration,0.96,6.47,2.18,7.54,28.12,15.46,2533,48.48,237
718,Nigeria,East,2016,Lake,Chlorination,2.97,7.44,4.28,5.15,48.04,2.72,1837,54.46,88
719,Brazil,East,2015,Well,,0.54,7.71,0.89,5.6,44.62,16.05,1376,40.43,245
720,Ethiopia,North,2024,Spring,,5.97,6.3,2.66,3.58,6.43,12.2,409,56.45,399
721,Indonesia,East,2014,Spring,,0.87,6.31,1.78,9.0,15.54,19.62,3007,74.49,178
722,USA,West,2012,Tap,,7.02,7.41,0.62,7.15,12.15,13.02,2952,65.43,379
723,Ethiopia,Central,2014,Lake,Filtration,0.53,6.68,0.25,3.59,28.6,14.32,4242,87.93,463
724,USA,Central,2003,Tap,,0.59,6.98,2.78,8.63,40.14,3.9,1679,74.89,230
725,Brazil,North,2015,Tap,Filtration,3.05,7.0,0.1,6.11,37.97,15.38,1714,48.45,98
726,Indonesia,East,2011,Spring,,8.97,6.45,0.52,8.36,36.34,1.59,1197,69.02,214
727,Nigeria,South,2003,Tap,Chlorination,6.41,6.0,1.74,3.09,18.76,13.13,2337,34.49,199
728,India,South,2002,Well,Filtration,7.7,8.13,0.22,3.2,6.98,1.11,3216,70.66,255
729,Bangladesh,East,2021,Tap,Filtration,1.42,7.79,2.0,4.2,10.53,2.3,2956,57.28,436
730,Nigeria,South,2016,Well,Chlorination,8.34,7.73,0.65,4.48,37.08,2.16,3193,36.89,493
731,India,North,2021,Spring,,0.08,7.37,1.75,8.35,7.38,1.05,26,51.52,435
732,China,North,2017,Lake,,2.13,7.75,3.96,7.95,11.15,6.42,3137,92.87,194
733,Pakistan,East,2024,Pond,Boiling,6.16,8.34,3.13,7.31,21.23,19.89,2973,71.02,379
734,Mexico,South,2017,Well,Boiling,3.75,7.66,2.23,9.19,3.61,6.96,3165,93.23,23
735,Mexico,North,2022,Lake,Filtration,9.84,6.66,0.46,4.73,10.63,15.22,1090,58.76,362
736,Bangladesh,North,2016,Lake,Boiling,0.3,7.43,3.1,9.33,7.49,2.65,249,98.52,469
737,Indonesia,West,2011,Well,Chlorination,9.99,7.11,0.82,9.37,47.57,9.09,141,55.2,269
738,Brazil,West,2022,Spring,Chlorination,6.24,7.39,0.38,6.04,9.58,3.7,266,82.98,277
739,Indonesia,North,2020,River,Chlorination,5.59,7.29,3.32,3.66,43.09,3.84,4310,51.38,225
740,Brazil,East,2023,Lake,Filtration,0.6,8.15,4.56,8.09,5.74,1.99,488,37.42,227
741,Indonesia,Central,2003,Lake,Chlorination,2.73,7.63,2.3,5.36,43.48,8.64,495,88.31,127
742,Pakistan,Central,2011,Spring,Filtration,9.25,6.47,0.2,8.56,29.97,1.51,479,83.38,30
743,China,North,2022,Spring,Filtration,3.54,6.16,4.4,4.15,42.49,18.2,2690,87.44,340
744,China,North,2021,Tap,Chlorination,6.62,7.06,0.33,6.78,43.37,8.96,4096,50.98,250
745,India,North,2020,Spring,Chlorination,9.99,6.04,4.34,6.56,29.82,16.77,3080,79.26,57
746,Ethiopia,East,2019,Lake,Filtration,2.63,6.8,1.96,3.7,45.88,19.59,4936,45.39,324
747,China,West,2014,Well,Chlorination,5.76,6.92,1.83,5.54,29.27,13.56,2427,30.79,146
748,China,North,2022,River,Boiling,6.96,6.94,2.71,3.59,35.63,18.03,843,90.65,105
749,Nigeria,North,2015,Tap,Filtration,1.65,8.45,4.79,6.25,20.8,2.71,3215,66.65,436
750,Nigeria,South,2004,Well,,1.49,6.76,4.49,8.9,45.7,16.6,3911,98.86,84
751,India,East,2020,River,Filtration,4.56,6.66,2.35,4.89,41.21,5.42,4077,56.95,1
752,Ethiopia,North,2014,River,Chlorination,3.86,6.32,3.48,8.35,8.34,9.45,2349,96.98,436
753,Bangladesh,South,2016,River,Chlorination,7.14,7.28,2.9,4.28,28.82,12.93,649,73.05,450
754,Nigeria,Central,2017,Pond,Filtration,0.7,6.38,3.47,7.72,44.84,18.07,1893,65.85,302
755,Bangladesh,North,2004,Well,Filtration,9.72,7.54,4.15,9.41,39.65,18.22,2856,51.2,370
756,USA,North,2012,Tap,,0.14,6.39,0.17,5.27,48.13,1.84,3250,87.77,52
757,Nigeria,South,2018,Tap,,6.01,7.44,1.63,9.3,11.57,7.29,2386,88.02,440
758,Pakistan,East,2012,River,Filtration,5.63,8.07,4.8,6.54,18.37,15.86,1725,59.19,221
759,Ethiopia,North,2017,Well,Chlorination,1.35,6.11,4.75,5.22,25.36,14.06,1354,80.91,481
760,India,Central,2013,Pond,Filtration,1.51,7.05,0.06,9.28,11.63,0.53,1293,61.31,24
761,USA,North,2003,River,Boiling,7.93,7.15,1.01,3.22,19.7,9.0,3046,81.78,34
762,Ethiopia,Central,2003,Spring,Boiling,8.88,7.98,4.97,3.2,26.88,16.59,3258,99.59,156
763,Pakistan,West,2019,Tap,Chlorination,2.83,7.17,2.46,7.2,9.57,14.75,2713,48.37,459
764,Ethiopia,West,2019,Lake,Filtration,4.38,7.42,2.86,8.58,12.83,8.24,403,74.38,342
765,Pakistan,Central,2018,River,Filtration,3.55,7.98,0.83,8.26,6.24,14.7,3972,56.59,475
766,Pakistan,East,2012,Spring,Boiling,0.73,7.4,4.47,3.56,35.67,11.02,4032,68.39,365
767,Bangladesh,North,2011,Tap,Filtration,6.73,6.9,1.16,9.65,18.08,18.25,1546,91.19,144
768,Indonesia,North,2006,Pond,Chlorination,8.25,6.21,0.95,7.92,11.01,11.74,2606,54.33,335
769,USA,West,2024,Well,Chlorination,3.05,7.82,1.14,9.64,25.37,8.01,2825,35.07,432
770,Ethiopia,Central,2011,Tap,,9.9,8.18,4.6,5.3,3.41,17.26,1852,85.93,439
771,Brazil,North,2020,Well,Chlorination,0.76,8.43,3.51,7.86,46.17,1.0,4206,68.85,456
772,USA,North,2003,Well,Filtration,6.62,8.32,3.84,9.02,14.72,18.01,812,61.46,386
773,Indonesia,East,2001,Pond,Filtration,4.48,7.99,1.89,5.66,44.32,13.93,3374,42.83,277
774,USA,South,2001,Pond,Boiling,4.47,7.61,4.55,9.75,24.88,18.81,929,36.5,478
775,China,West,2004,River,Boiling,4.58,7.95,3.95,4.85,42.51,5.01,4981,49.51,397
776,Brazil,West,2022,River,Chlorination,2.59,7.08,3.75,5.21,12.35,13.9,4075,80.32,386
777,Indonesia,South,2009,Tap,,7.16,7.49,4.85,9.44,8.76,16.19,3323,58.82,293
778,Bangladesh,North,2009,Pond,Filtration,7.22,6.87,1.83,9.79,42.47,14.04,174,69.92,342
779,Ethiopia,East,2008,Spring,,2.82,6.82,3.05,5.0,10.65,4.21,1363,35.74,276
780,Mexico,East,2012,Tap,Filtration,8.35,7.89,4.55,3.95,37.31,5.51,2895,38.63,178
781,Indonesia,West,2006,Lake,Chlorination,3.17,7.13,3.95,8.31,17.23,11.33,1037,30.79,279
782,India,East,2004,Well,Chlorination,7.25,6.53,2.82,9.51,37.41,8.94,3011,77.13,351
783,Ethiopia,South,2009,Well,Boiling,1.21,6.5,0.38,7.2,45.38,14.7,2090,48.51,300
784,Indonesia,North,2009,River,,1.69,8.15,3.26,7.44,49.08,7.57,460,97.68,196
785,China,South,2005,Spring,Boiling,3.16,7.69,2.63,8.34,17.99,17.19,2752,51.59,224
786,Mexico,Central,2018,Pond,Chlorination,5.94,7.37,0.92,4.07,18.38,8.64,148,55.45,427
787,China,West,2020,Pond,,6.46,7.0,4.41,9.81,49.07,0.8,4433,62.86,46
